cause,race_eth,deaths,children_naive,children_nhis_stratified,delta_pct
drug,Hispanic,77200,75751.46411272523,57347.633434760246,-24.295016464075687
drug,Non-Hispanic White,716657,497109.2908873175,319640.53740851325,-35.70014818311495
drug,Non-Hispanic Black,107538,63689.87854759057,44501.76713568046,-30.1274109002615
drug,Non-Hispanic Asian or Pacific Islander,9104,6209.186085573751,1391.6200990929206,-77.58772116161614
drug,Non-Hispanic American Indian or Alaska Native,9802,7453.054054038139,6984.784861330327,-6.282916899738561
firearm,Hispanic,72202,67106.30366041444,49839.0396795929,-25.73121009346755
firearm,Non-Hispanic White,422430,221026.3256523508,140757.09749154697,-36.31659166567252
firearm,Non-Hispanic Black,180800,119412.40318017468,89272.47603246756,-25.240198124336104
firearm,Non-Hispanic Asian or Pacific Islander,9910,6031.2601096488725,3669.264772026693,-39.16255135213676
firearm,Non-Hispanic American Indian or Alaska Native,6535,4733.30712551643,2524.23612745047,-46.67077245330743
