sex,raceth5,age_band,bucket,K_smooth,n_rows
f,1,18-29,alive,1.0330619740991434,15196
f,1,18-29,drug,0.7626274989800081,2
f,1,30-39,alive,1.838638720309773,14707
f,1,30-39,drug,0.7626274989800081,1
f,1,30-39,homicide_other,4.0,1
f,1,30-39,suicide_other,2.0,1
f,1,40-49,alive,1.1261959115531976,10562
f,1,40-49,drug,0.7626274989800081,1
f,1,50-59,alive,0.2983703609483553,6803
f,1,60-69,alive,0.16914853094398258,4382
f,1,60-69,drug,0.7626274989800081,1
f,1,70-100,alive,0.15184064096309718,2873
f,2,18-29,alive,0.6177776502212878,30570
f,2,18-29,drug,0.5688680588031964,3
f,2,18-29,firearm,0.7758839403095232,2
f,2,18-29,suicide_other,0.0,1
f,2,30-39,alive,1.454618594740488,30976
f,2,30-39,drug,0.5688680588031964,5
f,2,30-39,firearm,0.7758839403095232,2
f,2,40-49,alive,0.9647198606340308,31883
f,2,40-49,drug,0.5688680588031964,4
f,2,40-49,firearm,0.7758839403095232,1
f,2,40-49,homicide_other,0.7313535546027209,1
f,2,40-49,suicide_other,0.0,2
f,2,50-59,alive,0.17462811511352033,31768
f,2,50-59,drug,0.5688680588031964,2
f,2,50-59,firearm,0.7758839403095232,2
f,2,50-59,homicide_other,0.7313535546027209,1
f,2,50-59,suicide_other,0.0,5
f,2,60-69,alive,0.022268794012658414,25679
f,2,60-69,drug,0.5688680588031964,2
f,2,70-100,alive,0.014058452367185092,21057
f,2,70-100,homicide_other,0.7313535546027209,1
f,2,70-100,suicide_other,0.0,3
f,3,18-29,alive,0.8660895788618482,10104
f,3,18-29,firearm,1.7444246208742193,2
f,3,30-39,alive,1.499231164077803,9460
f,3,30-39,drug,0.0,1
f,3,30-39,suicide_other,0.0,1
f,3,40-49,alive,0.7694401031696844,8316
f,3,40-49,drug,0.0,1
f,3,40-49,firearm,1.7444246208742193,1
f,3,40-49,homicide_other,0.0,1
f,3,50-59,alive,0.19256259102540374,7231
f,3,60-69,alive,0.07059879889371412,4866
f,3,60-69,homicide_other,0.0,2
f,3,70-100,alive,0.0507143124369809,3487
f,4,18-29,alive,0.38878036616637207,3086
f,4,30-39,alive,1.2711114122052969,3067
f,4,40-49,alive,1.1227110550969646,2522
f,4,50-59,alive,0.2568875539209676,1785
f,4,60-69,alive,0.1571385423545679,1430
f,4,70-100,alive,0.14267975343855532,1301
f,5,18-29,alive,0.7883229392500134,6175
f,5,18-29,drug,0.538604737748406,2
f,5,18-29,firearm,0.5109500883463827,2
f,5,18-29,suicide_other,0.9507486372731664,3
f,5,30-39,alive,1.4997054720706067,6781
f,5,30-39,drug,0.538604737748406,5
f,5,30-39,firearm,0.5109500883463827,4
f,5,30-39,suicide_other,0.9507486372731664,2
f,5,40-49,alive,0.9150861343400659,5783
f,5,40-49,drug,0.538604737748406,3
f,5,40-49,firearm,0.5109500883463827,3
f,5,40-49,suicide_other,0.9507486372731664,2
f,5,50-59,alive,0.15795081568584507,3749
f,5,50-59,drug,0.538604737748406,2
f,5,50-59,firearm,0.5109500883463827,1
f,5,50-59,suicide_other,0.9507486372731664,1
f,5,60-69,alive,0.03788747479602846,1885
f,5,60-69,drug,0.538604737748406,1
f,5,60-69,firearm,0.5109500883463827,1
f,5,60-69,homicide_other,0.0,1
f,5,70-100,alive,0.04823060011313387,789
f,5,70-100,homicide_other,0.0,1
f,5,70-100,suicide_other,0.9507486372731664,3
m,1,18-29,alive,0.7484244554997324,12619
m,1,18-29,firearm,1.7321299390264908,4
m,1,18-29,suicide_other,1.378354307841239,2
m,1,30-39,alive,1.428386988226432,11455
m,1,30-39,drug,0.1505550416281221,2
m,1,30-39,firearm,1.7321299390264908,5
m,1,30-39,suicide_other,1.378354307841239,2
m,1,40-49,alive,1.198182351322657,8613
m,1,40-49,drug,0.1505550416281221,6
m,1,40-49,firearm,1.7321299390264908,3
m,1,50-59,alive,0.4804541300725671,5143
m,1,50-59,suicide_other,1.378354307841239,1
m,1,60-69,alive,0.18374552301798586,2945
m,1,60-69,firearm,1.7321299390264908,1
m,1,60-69,suicide_other,1.378354307841239,1
m,1,70-100,alive,0.1119140141680962,1616
m,1,70-100,homicide_other,0.0,1
m,2,18-29,alive,0.40261169039915484,27607
m,2,18-29,drug,0.5366116813944123,3
m,2,18-29,firearm,0.31168708195134526,5
m,2,18-29,suicide_other,0.3377954646814642,5
m,2,30-39,alive,1.118948935516045,26855
m,2,30-39,drug,0.5366116813944123,3
m,2,30-39,firearm,0.31168708195134526,12
m,2,30-39,homicide_other,0.0,1
m,2,30-39,suicide_other,0.3377954646814642,4
m,2,40-49,alive,1.0126135327084662,27953
m,2,40-49,drug,0.5366116813944123,7
m,2,40-49,firearm,0.31168708195134526,6
m,2,40-49,homicide_other,0.0,1
m,2,40-49,suicide_other,0.3377954646814642,7
m,2,50-59,alive,0.2740520377493891,26678
m,2,50-59,drug,0.5366116813944123,3
m,2,50-59,firearm,0.31168708195134526,12
m,2,50-59,suicide_other,0.3377954646814642,3
m,2,60-69,alive,0.04789719759468426,20032
m,2,60-69,firearm,0.31168708195134526,5
m,2,60-69,homicide_other,0.0,1
m,2,70-100,alive,0.013591114904636816,12142
m,2,70-100,firearm,0.31168708195134526,16
m,2,70-100,suicide_other,0.3377954646814642,1
m,3,18-29,alive,0.537576890944481,5900
m,3,18-29,drug,1.2730023891691,1
m,3,18-29,firearm,0.0,2
m,3,30-39,alive,0.9722489401959454,5483
m,3,30-39,drug,1.2730023891691,1
m,3,30-39,firearm,0.0,3
m,3,30-39,homicide_other,0.0,1
m,3,30-39,suicide_other,0.0,1
m,3,40-49,alive,0.788084577177652,5598
m,3,40-49,drug,1.2730023891691,3
m,3,40-49,firearm,0.0,3
m,3,40-49,homicide_other,0.0,1
m,3,50-59,alive,0.30764499194700445,4942
m,3,50-59,firearm,0.0,1
m,3,50-59,homicide_other,0.0,1
m,3,60-69,alive,0.0889406639904834,3141
m,3,70-100,alive,0.04485830371392419,1697
m,3,70-100,drug,1.2730023891691,1
m,3,70-100,homicide_other,0.0,1
m,3,70-100,suicide_other,0.0,1
m,4,18-29,alive,0.27850163790007526,3060
m,4,18-29,drug,0.0,1
m,4,30-39,alive,0.8843090268853595,2756
m,4,30-39,suicide_other,1.0,1
m,4,40-49,alive,1.2587207390218464,2258
m,4,50-59,alive,0.5473597873002212,1543
m,4,60-69,alive,0.17977587655504518,1131
m,4,70-100,alive,0.18752253399789587,771
m,5,18-29,alive,0.5115607147302695,4888
m,5,18-29,drug,0.6843383799503892,2
m,5,18-29,firearm,0.5949678296803892,9
m,5,18-29,suicide_other,0.8238942473508319,5
m,5,30-39,alive,1.1737079651599378,5364
m,5,30-39,drug,0.6843383799503892,11
m,5,30-39,firearm,0.5949678296803892,8
m,5,30-39,homicide_other,0.0,1
m,5,30-39,suicide_other,0.8238942473508319,3
m,5,40-49,alive,0.9954966969435516,4558
m,5,40-49,drug,0.6843383799503892,6
m,5,40-49,firearm,0.5949678296803892,6
m,5,40-49,suicide_other,0.8238942473508319,4
m,5,50-59,alive,0.2553360265188682,2679
m,5,50-59,firearm,0.5949678296803892,6
m,5,50-59,suicide_other,0.8238942473508319,5
m,5,60-69,alive,0.03481773044695939,1194
m,5,60-69,firearm,0.5949678296803892,8
m,5,70-100,alive,0.04044671823830074,363
m,5,70-100,firearm,0.5949678296803892,9
m,5,70-100,suicide_other,0.8238942473508319,1
