sex_label,raceth5,hh_struct,alive,died,n_alive,n_died,kappa,raceth5_label
f,1,coupled,2.1623922856042634,2.1619854378049608,12971.0,255.0,0.9998118529177101,Hispanic
f,1,multi_adult_other,1.8072387386981914,1.8696178451412977,8638.0,295.0,1.0345162512884378,Hispanic
f,1,sole_adult,2.0562840768139874,1.920503832963486,7953.0,228.0,0.9339681489627252,Hispanic
f,2,coupled,1.9687819707703813,1.7714784546181739,32649.0,620.0,0.8997839684223627,Non-Hispanic White
f,2,multi_adult_other,1.5604593365898292,1.6692428249714704,8458.0,413.0,1.0697124787752386,Non-Hispanic White
f,2,sole_adult,1.66734350058259,1.5251177204822761,11699.0,390.0,0.9146991726356215,Non-Hispanic White
f,3,coupled,2.0337958840530685,1.9056021139707284,3728.0,101.0,0.9369682222844959,Non-Hispanic Black
f,3,multi_adult_other,1.7340873922168933,1.7164767983625542,3642.0,214.0,0.9898444600120035,Non-Hispanic Black
f,3,sole_adult,1.95413618495141,1.8542571492759965,9572.0,381.0,0.948888395576229,Non-Hispanic Black
f,4,coupled,1.81861645389701,1.767673395183126,3026.0,62.0,0.9719880139626358,Non-Hispanic Asian or Pacific Islander
f,4,multi_adult_other,1.6104856778453283,1.9460147792079103,1091.0,52.0,1.2083403199285119,Non-Hispanic Asian or Pacific Islander
f,4,sole_adult,1.648633515736267,2.210229341099381,539.0,18.0,1.3406432175511789,Non-Hispanic Asian or Pacific Islander
f,5,coupled,1.9608397925685228,1.8421494988703515,5996.0,311.0,0.9394696628719995,Non-Hispanic American Indian or Alaska Native
f,5,multi_adult_other,1.663979432844243,1.6299362142063272,1751.0,181.0,0.9795410820795268,Non-Hispanic American Indian or Alaska Native
f,5,sole_adult,1.799618649163057,1.6606983826334012,3276.0,281.0,0.9228057196482916,Non-Hispanic American Indian or Alaska Native
m,1,coupled,2.152419618044479,2.1392121719109167,10848.0,445.0,0.9938639073799368,Hispanic
m,1,multi_adult_other,1.817200149344082,1.786648609831184,6178.0,294.0,0.9831875759398735,Hispanic
m,1,sole_adult,1.6685396536311219,1.645168142749763,784.0,46.0,0.9859928346140908,Hispanic
m,2,coupled,1.956714761996925,1.7494605869464752,27347.0,999.0,0.8940805379119557,Non-Hispanic White
m,2,multi_adult_other,1.5653984053149057,1.5819894754898434,6457.0,335.0,1.0105986246814913,Non-Hispanic White
m,2,sole_adult,1.5285162896819149,1.4185562937690788,2655.0,165.0,0.9280609590783498,Non-Hispanic White
m,3,coupled,2.0262298673550942,2.0271242547785633,3585.0,212.0,1.0004414047181314,Non-Hispanic Black
m,3,multi_adult_other,1.7115514840507375,1.7732082426448572,2166.0,147.0,1.0360238994670474,Non-Hispanic Black
m,3,sole_adult,1.5042004215231166,1.3984934331922283,744.0,60.0,0.9297254628981875,Non-Hispanic Black
m,4,coupled,1.7808572469297628,1.7944424808655317,2599.0,81.0,1.007628480025106,Non-Hispanic Asian or Pacific Islander
m,4,multi_adult_other,1.7057692230428356,1.9199654256453853,816.0,54.0,1.1255716187799754,Non-Hispanic Asian or Pacific Islander
m,4,sole_adult,1.474788980249512,1.196785273618568,116.0,7.0,0.8114959425694177,Non-Hispanic Asian or Pacific Islander
m,5,coupled,1.9619356183647079,1.8456447160753915,4927.0,517.0,0.9407264432121142,Non-Hispanic American Indian or Alaska Native
m,5,multi_adult_other,1.63431860199422,1.6018127512483236,1208.0,181.0,0.9801104566109495,Non-Hispanic American Indian or Alaska Native
m,5,sole_adult,1.519762237913665,1.584439958266195,389.0,92.0,1.0425577888034117,Non-Hispanic American Indian or Alaska Native
