term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.455568051279413,0.016360129679311834,-150.09465691366717,0.0,-2.487633316233269,-2.423502786325557,0.08581443459378403,0.08310642062777689,0.08861068890975085,mcounts,parent
sex_male,0.43648185142245394,0.01523088481925526,28.657681848571453,0.0,0.40662986572403576,0.4663338371208721,1.5472541617756241,1.501748154314195,1.5941390933323691,mcounts,parent
age_c,0.07744779406942404,0.0009802096984123394,79.01145458453168,0.0,0.07552661836323898,0.07936896977560909,1.0805258211300663,1.078451933961307,1.0826036964301953,mcounts,parent
age_c_sq,0.0002547463284711729,6.231328268351253e-05,4.088154523410725,4.348184937819077e-05,0.00013261453865302496,0.0003768781182893209,1.0002547787790725,1.0001326233323498,1.00037694914577,mcounts,parent
race_1,-0.1417753976316237,0.03228120409878808,-4.391886907246632,1.1237114939888215e-05,-0.20504539504283512,-0.07850540022041227,0.867816148160721,0.8146103363009537,0.9244970674301383,mcounts,parent
race_3,0.4254366325943368,0.027412757775755824,15.519658258192399,0.0,0.37170861463693505,0.4791646505517385,1.530258434524507,1.450210349652558,1.614724979031089,mcounts,parent
race_4,-0.3537729134090251,0.05694865590884131,-6.21213807004182,5.226847843431415e-10,-0.4653902279583182,-0.242155598859732,0.7020343718476477,0.6278900371293089,0.7849340332087835,mcounts,parent
race_5,0.24292197055489298,0.0285170180702229,8.518491307776284,0.0,0.1870296421907782,0.2988142989190078,1.2749691351028332,1.2056630230135887,1.348259227028268,mcounts,parent
yeardec_2,0.13262648702309027,0.019902626447608797,6.663768089714847,2.6689539467383838e-11,0.09361805598802267,0.17163491805815786,1.1418234328024819,1.0981402377198433,1.1872443126243577,mcounts,parent
yeardec_3,-0.5555043113902753,0.015011046809530814,-37.00636727330532,0.0,-0.5849254225072006,-0.5260832002733501,0.5737828230058961,0.5571474109198666,0.5909149383518674,mcounts,parent
yeardec_4,-2.032690226912205,0.022274877059089968,-91.25483483118492,0.0,-2.076348183708079,-1.9890322701163312,0.13098267362772492,0.12538726841758316,0.13682777372205074,mcounts,parent
nk_under18,-0.16286331671533583,0.010090957650865689,-16.13953029535943,0.0,-0.1826412302805515,-0.14308540315012017,0.8497073212653734,0.8330669813362733,0.866680048528457,mcounts,parent
