term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.4261144591102424,0.01633383441467633,-148.53306318143657,0.0,-2.458128186292449,-2.394100731928036,0.08837956872161509,0.08559501904171803,0.09125470447774207,mfact,parent
sex_male,0.43696146560482707,0.015242807842434248,28.666730573639846,0.0,0.40708611121039123,0.4668368199992629,1.547996424801056,1.5024334764569227,1.5949411196879422,mfact,parent
age_c,0.0761500326206444,0.0010116832369570603,75.27062803737698,0.0,0.07416716991244567,0.07813289532884314,1.0791244658840782,1.076986830242557,1.0812663443686945,mfact,parent
age_c_sq,0.00021850876059426803,6.294156215984059e-05,3.471613240856071,0.0005173410845149551,9.514556563029137e-05,0.0003418719555582447,1.0002185326353723,1.0000951500921131,1.0003419304004353,mfact,parent
race_1,-0.14033044099159256,0.03230256705885221,-4.344250434831505,1.3975201586191588e-05,-0.20364230903513283,-0.07701857294805228,0.8690710112593797,0.8157541068821561,0.9258726572620362,mfact,parent
race_3,0.42356150374837676,0.02736143519986404,15.480237080198245,0.0,0.36993407619131674,0.47718893130543677,1.5273916913885122,1.4476391776293842,1.61153788525052,mfact,parent
race_4,-0.343798930068927,0.05699607178699436,-6.031975876403761,1.6196695096226676e-09,-0.45550917803169544,-0.23208868210615854,0.7090714866718553,0.6341250032109474,0.7928758062923752,mfact,parent
race_5,0.2427819465720415,0.028464766141368267,8.529209246486761,0.0,0.18699203010660453,0.29857186303747846,1.2747906213449185,1.2056176763672783,1.3479324002329054,mfact,parent
yeardec_2,0.14318786865146305,0.019883593196318966,7.201307491946239,5.964118088286341e-13,0.10421674210343221,0.18215899519949388,1.1539465716895105,1.109840978116961,1.199804941941551,mfact,parent
yeardec_3,-0.5464340072565695,0.015049815628456413,-36.308352258041225,0.0,-0.5759311038623122,-0.5169369106508269,0.5790108819165972,0.562181175974312,0.5963444094278151,mfact,parent
yeardec_4,-2.022868320505107,0.02220520344432986,-91.09884201586317,0.0,-2.066389719525378,-1.9793469214848356,0.13227551186381645,0.12664217112008072,0.1381594368138585,mfact,parent
nkf_1,-0.36794905288121876,0.04712404122888581,-7.808096319542212,5.773159728050814e-15,-0.4603104764958156,-0.27558762926662195,0.6921524439632445,0.6310876771961547,0.7591259075327914,mfact,parent
nkf_2,-0.5137384650507075,0.04587979866839534,-11.197487346530147,0.0,-0.6036612180587111,-0.42381571204270396,0.5982548381528313,0.5468059908138795,0.6545444954627326,mfact,parent
nkf_3,-0.4584669117336257,0.04975879222386939,-9.21378697599694,0.0,-0.5559923524066214,-0.36094147106063,0.6322522013076688,0.5735028617756329,0.6970197931022378,mfact,parent
minors_mean_age_ctr,0.005748799112599694,0.0033984847750951077,1.6915771271739217,0.09072663064747499,-0.000912108648594423,0.012409706873793811,1.0057653551688275,0.9990883071960576,1.012487026794291,mfact,parent
