term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.4337901980617653,0.016277549335324604,-149.51821972243042,0.0,-2.4656936085155756,-2.401886787607955,0.08770378710301983,0.08494989995857422,0.09054694915429927,mint,parent
sex_male,0.4362828785716854,0.01524186405375589,28.623984378352784,0.0,0.4064093739690682,0.46615638317430264,1.5469463308302083,1.5014170677304033,1.5938562321570346,mint,parent
age_c,0.07684320326925265,0.0010070522605347143,76.30507996521574,0.0,0.07486941710805496,0.07881698943045033,1.0798727426017918,1.0777434068446092,1.0820062853629215,mint,parent
age_c_sq,0.00021535760083988016,6.324744607205585e-05,3.405000742552196,0.0006616387388826972,9.139488442451137e-05,0.0003393203172552489,1.0002153807919527,1.0000913990610643,1.0003393778929062,mint,parent
race_1,-0.13938481947291775,0.03231319907626225,-4.313556795907338,1.6064884455380124e-05,-0.2027175258876647,-0.0760521130581708,0.8698932121930631,0.8165088514664252,0.9267679085909845,mint,parent
race_3,0.42573688200696,0.02740535279920589,15.53480756574301,0.0,0.3720233775369025,0.47945038647701754,1.5307179627037155,1.4506668939156062,1.615186429890448,mint,parent
race_4,-0.34843692829981965,0.05695284666979454,-6.117989682236837,9.47631972891827e-10,-0.4600624565896489,-0.2368114000099904,0.7057904290224561,0.6312442189145645,0.7891401057997225,mint,parent
race_5,0.24305718233851106,0.028483465485440125,8.533272837280085,0.0,0.18723061583215872,0.2988837488448634,1.2751415376088109,1.2059053538518414,1.3483528667832188,mint,parent
yeardec_2,0.1402122213999935,0.019878129117922454,7.053592446664199,1.7434942378713458e-12,0.10125180424882854,0.17917263855115848,1.1505179374780004,1.1065552419970885,1.1962272412804804,mint,parent
yeardec_3,-0.5485948512418687,0.015033411220193318,-36.49170791689514,0.0,-0.578059795798228,-0.5191299066855094,0.5777610805341875,0.5609857382492247,0.5950380614341639,mint,parent
yeardec_4,-2.0254075682198622,0.0222256253776104,-91.1293848343279,0.0,-2.068968993493858,-1.9818461429458665,0.13194005765351113,0.1263159471561425,0.13781457690447532,mint,parent
nk_under18,-0.22556312654354838,0.023375859373392597,-9.649404667461937,0.0,-0.2713789690230709,-0.17974728406402585,0.798066679666717,0.7623275431320731,0.835481324179197,mint,parent
minors_mean_age_ctr,-0.02426239886807318,0.0034029783805424444,-7.129754043340612,1.0054179711005418e-12,-0.03093211393410481,-0.01759268380204155,0.9760295670999942,0.9695413891926369,0.9825611639402891,mint,parent
nk_x_meanage,0.016601162348622946,0.0028874687995626928,5.7493824179631625,8.957001806919607e-09,0.010941827494996965,0.022260497202248927,1.0167397273624232,1.0110019082204866,1.0225101108034353,mint,parent
