sex,raceth5,age_band,yeardec,n_alive_w,n_dead_w,n_alive_unw,n_dead_unw,mean_nk_alive,mean_nk_dead,kappa,kappa_smooth,kappa_pool
f,1,18-29,2,9051248.0,172842.0,2427,57,1.1461096856477693,1.2858390900359866,1.1219162582237876,1.1219162582237876,0.6346296575979203
f,1,18-29,3,39000218.0,379147.0,7047,84,1.1156550458256413,1.4772212360904873,1.3240842154729544,1.3240842154729544,0.7411606735926156
f,1,18-29,4,45240120.0,81954.0,5722,16,0.9392432425024514,0.5945896478512336,0.6330518240057306,0.9140238662884603,0.9140238662884603
f,1,30-39,2,7252156.0,354489.0,2198,113,1.914142497762045,1.6599048207419693,0.867179336273385,0.867179336273385,0.6346296575979203
f,1,30-39,3,31021477.0,650844.0,6577,163,1.8834949412627904,2.081869080762825,1.1053223638429497,1.1053223638429497,0.7411606735926156
f,1,30-39,4,37101296.0,174005.0,5932,36,1.7863744705845317,1.5040085055027155,0.8419334972977859,0.8419334972977859,0.9140238662884603
f,1,40-49,2,4906340.0,498708.0,1348,146,1.2252230787104033,1.12014846363002,0.9142404212700772,0.9142404212700772,0.6346296575979203
f,1,40-49,3,24995209.0,923114.0,4695,205,1.1102632508493928,0.9744939411600301,0.8777143082187994,0.8777143082187994,0.7411606735926156
f,1,40-49,4,31314412.0,318212.0,4519,55,1.123397814399325,0.8125746357774063,0.7233186902823785,0.7233186902823785,0.9140238662884603
f,1,50-59,2,2669878.0,611945.0,733,184,0.3023610067576121,0.27802335177180953,0.9195079575677134,0.9195079575677134,0.6346296575979203
f,1,50-59,3,14787033.0,1572937.0,2855,326,0.2985222255201567,0.3369213134410342,1.1286305830461012,1.1286305830461012,0.7411606735926156
f,1,50-59,4,22481074.0,425698.0,3215,80,0.2977965376565194,0.1727586223097125,0.5801230050195328,0.5801230050195328,0.9140238662884603
f,1,60-69,2,1244176.0,976723.0,336,304,0.15659440465014596,0.11330745769271329,0.7235728373938913,0.7235728373938913,0.6346296575979203
f,1,60-69,3,7638122.0,1912078.0,1591,477,0.186181367618899,0.050024632886315305,0.26868764327004213,0.26868764327004213,0.7411606735926156
f,1,60-69,4,14325122.0,725924.0,2455,145,0.16115702190878375,0.18354262980697703,1.138905569444338,1.138905569444338,0.9140238662884603
f,1,70-100,2,432153.0,1480060.0,130,491,0.26749322577883294,0.06722903125548964,0.25132984605402875,0.25132984605402875,0.6346296575979203
f,1,70-100,3,4107033.0,4347069.0,881,1127,0.15994076502428883,0.1078667028289636,0.6744165742397369,0.6744165742397369,0.7411606735926156
f,1,70-100,4,9596542.0,1958252.0,1862,432,0.14316594456628232,0.1363511948411134,0.9523996454197678,0.9523996454197678,0.9140238662884603
f,2,18-29,2,14335469.0,343505.0,1671,41,0.6832315008319574,0.6852826014177378,1.0030020579895436,1.0030020579895436,1.1329981766816375
f,2,18-29,3,147591196.0,1736652.0,14897,194,0.6538859336840119,0.6781997775029194,1.037183616539849,1.037183616539849,1.1495279679306094
f,2,18-29,4,132670480.0,526756.0,14002,53,0.5705359700213642,1.0282123032295787,1.8021866407320055,1.8021866407320055,1.952617607320869
f,2,30-39,2,14485814.0,709338.0,1984,96,1.492218317866017,1.2304486718602414,0.824576844506154,0.824576844506154,1.1329981766816375
f,2,30-39,3,129254998.0,3391811.0,15478,450,1.4845118329582891,1.1792635261811464,0.7943779901243001,0.7943779901243001,1.1495279679306094
f,2,30-39,4,106418861.0,715685.0,13514,100,1.4131925448816822,0.8862739892550494,0.627143125305159,0.627143125305159,1.952617607320869
f,2,40-49,2,14228304.0,1371663.0,1793,180,0.8914917055469155,0.48831236243887893,0.5477475106056173,0.5477475106056173,1.1329981766816375
f,2,40-49,3,150028976.0,8811550.0,16625,1078,0.9381778690537753,0.6114834506982313,0.6517777394546297,0.6517777394546297,1.1495279679306094
f,2,40-49,4,116396600.0,1739036.0,13465,215,1.0078824639207675,0.4428154448786569,0.4393522664895457,0.4393522664895457,1.952617607320869
f,2,50-59,2,9473915.0,2438825.0,1336,363,0.11067610380713781,0.07696698205078265,0.6954254749056212,0.6954254749056212,1.1329981766816375
f,2,50-59,3,123264526.0,16036979.0,14136,2108,0.1578454128805882,0.12870828102973758,0.8154071675627775,0.8154071675627775,1.1495279679306094
f,2,50-59,4,131844172.0,4299744.0,16296,573,0.19491409146245767,0.13408798291247107,0.6879337553606159,0.6879337553606159,1.952617607320869
f,2,60-69,2,4313844.0,3890537.0,687,623,0.02678840495854741,0.0436857431249208,1.630770596178476,1.630770596178476,1.1329981766816375
f,2,60-69,3,70975416.0,24614347.0,8817,3427,0.017373057735934932,0.03136780350094195,1.8055430412839693,1.8055430412839693,1.1495279679306094
f,2,60-69,4,111526739.0,7356308.0,16175,1124,0.02520961363355204,0.04313046707669119,1.7108737842490327,1.7108737842490327,1.952617607320869
f,2,70-100,2,1446412.0,10225989.0,259,1867,0.017291753663548147,0.01992423422321303,1.1522390736582304,1.1522390736582304,1.1329981766816375
f,2,70-100,3,38196054.0,83048445.0,5305,13320,0.021186822073295843,0.023078397193349014,1.0892807384471945,1.0892807384471945,1.1495279679306094
f,2,70-100,4,91681591.0,29332108.0,15493,5183,0.011037646587088569,0.025644798525902058,2.323393698426655,2.323393698426655,1.952617607320869
f,3,18-29,2,3207169.0,67789.0,570,13,1.082131000892064,1.1728156485565504,1.0838019126979357,0.7964840592136422,0.7964840592136422
f,3,18-29,3,33728554.0,598819.0,5197,97,0.9542936231419823,1.0380816239965667,1.0878010696317082,1.0878010696317082,0.7542768066854484
f,3,18-29,4,34195567.0,71334.0,4337,16,0.7588278328591539,1.149185521630639,1.5144219437769877,1.0762720934294046,1.0762720934294046
f,3,30-39,2,2596512.0,206842.0,516,40,1.591728826980195,1.2897864070159832,0.810305364301875,0.810305364301875,0.7964840592136422
f,3,30-39,3,26840108.0,1133987.0,4882,214,1.5620386475345032,1.1200322402285035,0.717032348717072,0.717032348717072,0.7542768066854484
f,3,30-39,4,26129202.0,357103.0,4062,63,1.4255231751815458,1.332273881765205,0.9345859155152176,0.9345859155152176,1.0762720934294046
f,3,40-49,2,2257260.0,379322.0,422,81,0.7953957452841055,0.6890952805268348,0.8663552509709471,0.8663552509709471,0.7964840592136422
f,3,40-49,3,25974610.0,2609242.0,4325,466,0.7755894698707699,0.5686318095446877,0.7331608172032482,0.7331608172032482,0.7542768066854484
