nkf,raceth5,n_uw,n_w,died_uw,died_w,rate_uw,rate_wtd
0,1,56707.0,341912772.0,7165.0,30149661.0,0.12635124411448323,0.08817939389523595
0,2,278725.0,2211477859.0,54790.0,377935824.0,0.19657368373845188,0.17089740349962057
0,3,57084.0,350642470.0,10296.0,49332182.0,0.18036577675005255,0.14069083531153542
0,4,17950.0,129106062.0,1427.0,8817649.0,0.07949860724233983,0.06829771478894617
0,5,42490.0,260345513.0,15829.0,86108957.0,0.3725347140503648,0.33074876539162784
1,1,17604.0,119197200.0,640.0,3471543.0,0.03635537377868666,0.029124367015332574
1,2,38592.0,385592963.0,1523.0,14386454.0,0.0394641376451078,0.03730994955942699
1,3,10811.0,78615855.0,546.0,3508383.0,0.050504116177966886,0.04462691399845489
1,4,3831.0,35135209.0,125.0,1023675.0,0.03262855651265988,0.029135304133241387
1,5,8028.0,59074090.0,765.0,5398332.0,0.0952914798206278,0.09138239793452595
2,1,17476.0,111534067.0,492.0,2545520.0,0.0281528953994049,0.022822802650960445
2,2,35704.0,344748437.0,961.0,9229380.0,0.026915751736500113,0.02677134689953649
2,3,7977.0,58045212.0,326.0,2083115.0,0.04086749404538047,0.035887800702666055
2,4,3341.0,31209959.0,100.0,894888.0,0.029931158335827598,0.028673155257909824
2,5,7206.0,52600355.0,546.0,3957193.0,0.07577019150707744,0.07523129834389901
3,1,13855.0,83044516.0,431.0,2190873.0,0.031107903284012993,0.026381910636940793
3,2,17891.0,171519619.0,438.0,4229826.0,0.024481582918785983,0.024660887335576462
3,3,5764.0,39286755.0,243.0,1591077.0,0.04215822345593338,0.04049906896102771
3,4,1289.0,11519364.0,49.0,382677.0,0.03801396431342126,0.0332203236220333
3,5,3876.0,27573371.0,252.0,1764715.0,0.06501547987616099,0.06400069835494543
