nkf,raceth5,n_uw,n_w,died_uw,died_w,rate_uw,rate_wtd
0,1,35036.0,201328596.0,2415.0,10583112.0,0.06892910149560452,0.052566362703885344
0,2,164152.0,1323651916.0,13791.0,103952328.0,0.0840135971538574,0.07853448987868197
0,3,36400.0,215825472.0,3866.0,19768679.0,0.1062087912087912,0.09159567133947934
0,4,11232.0,79138670.0,386.0,2673866.0,0.03436609686609687,0.03378709801415667
0,5,26076.0,158797398.0,5236.0,30682102.0,0.20079766835404203,0.19321539512882951
1,1,14978.0,92633405.0,491.0,2427746.0,0.0327814127386834,0.02620810494874932
1,2,35685.0,336313596.0,1287.0,11588189.0,0.036065573770491806,0.03445649874945882
1,3,9600.0,64182991.0,429.0,2654178.0,0.0446875,0.041353292494580064
1,4,3372.0,29354859.0,84.0,659470.0,0.02491103202846975,0.022465446010147758
1,5,7378.0,50963756.0,681.0,4561239.0,0.09230143670371374,0.0894996632508797
2,1,15803.0,95468213.0,414.0,1976744.0,0.026197557425805228,0.020705781933930197
2,2,34543.0,325286771.0,848.0,7663921.0,0.024549112700112903,0.023560506246348395
2,3,7382.0,50883360.0,274.0,1717018.0,0.03711731238146844,0.03374419456576767
2,4,3103.0,28187324.0,76.0,662831.0,0.024492426683854335,0.023515215562853714
2,5,6916.0,48973828.0,504.0,3549775.0,0.0728744939271255,0.07248310260737634
3,1,12850.0,73360530.0,375.0,1776691.0,0.029182879377431907,0.024218622738957855
3,2,17320.0,162064017.0,381.0,3448592.0,0.021997690531177828,0.021279196109275755
3,3,5391.0,35081789.0,207.0,1262613.0,0.038397328881469114,0.03599055338939528
3,4,1190.0,10314201.0,38.0,273977.0,0.031932773109243695,0.02656308520650315
3,5,3701.0,25591636.0,221.0,1490499.0,0.0597135909213726,0.05824164582522196
