pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Ridha M,Ridha M,1,"Department of Neurology, The Ohio State University, Columbus (M.R.).",Ridha M
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Nahid M,Nahid M,2,"Division of General Internal Medicine (M.N., M.R.S., P.G., M.M.S.), Weill Cornell Medicine, New York, NY.",Nahid M
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Levitan EB,Levitan EB,3,"Department of Epidemiology, University of Alabama at Birmingham (E.B.L., V.J.H.).",Levitan EB
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Howard VJ,Howard VJ,4,"Department of Epidemiology, University of Alabama at Birmingham (E.B.L., V.J.H.).",Howard VJ
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Kamel H,Kamel H,5,"Department of Neurology and Feil Family Brain and Mind Research Institute (H.K., C.I., A.E.M.), Weill Cornell Medicine, New York, NY.",Kamel H
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Soliman EZ,Soliman EZ,6,"Department of Cardiovascular Medicine, Epidemiological Cardiology Research Center, Wake Forest University School of Medicine, Winston-Salem, NC (E.Z.S.).",Soliman EZ
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Okin PM,Okin PM,7,"Division of Cardiology (P.M.O., P.G.), Weill Cornell Medicine, New York, NY.",Okin PM
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Iadecola C,Iadecola C,8,"Department of Neurology and Feil Family Brain and Mind Research Institute (H.K., C.I., A.E.M.), Weill Cornell Medicine, New York, NY.",Iadecola C
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Sterling MR,Sterling MR,9,"Division of General Internal Medicine (M.N., M.R.S., P.G., M.M.S.), Weill Cornell Medicine, New York, NY.",Sterling MR
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Goyal P,Goyal P,10,"Division of General Internal Medicine (M.N., M.R.S., P.G., M.M.S.), Weill Cornell Medicine, New York, NY.",Goyal P
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,Sharma R,Sharma R,11,"Department of Neurology, Yale School of Medicine, New Haven, CT (R.S.).",Sharma R
