pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
wls_zotero_7EN8PA7J,Metacognition and self-awareness : neural and cognitive mechanisms in brain ageing and Alzheimer's disease,2026,Bellaali Y,Bellaali Y,1,NA,Bellaali Y
wls_zotero_449XT22G,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",2026,Warren JR,Warren JR,1,NA,Warren JR
wls_zotero_449XT22G,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",2026,Rumore G,Rumore G,2,NA,Rumore G
wls_zotero_449XT22G,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",2026,Sicinski K,Sicinski K,3,NA,Sicinski K
wls_zotero_449XT22G,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",2026,Herd P,Herd P,4,NA,Herd P
wls_zotero_449XT22G,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",2026,Engelman M,Engelman M,5,NA,Engelman M
wls_zotero_HWJQN8QB,Genetic and Phenotypic Associations of the Polygenic Score of Delay Discounting and Life History Traits,2026,Fieder M,Fieder M,1,NA,Fieder M
wls_zotero_HWJQN8QB,Genetic and Phenotypic Associations of the Polygenic Score of Delay Discounting and Life History Traits,2026,Huber S,Huber S,2,NA,Huber S
wls_zotero_D567XIYD,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,2026,Stephan Y,Stephan Y,1,NA,Stephan Y
wls_zotero_D567XIYD,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,2026,Sutin AR,Sutin AR,2,NA,Sutin AR
wls_zotero_D567XIYD,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,2026,Luchetti M,Luchetti M,3,NA,Luchetti M
wls_zotero_D567XIYD,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,2026,Karakose S,Karakose S,4,NA,Karakose S
wls_zotero_D567XIYD,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,2026,Terracciano A,Terracciano A,5,NA,Terracciano A
wls_zotero_82BX4BKF,Voting Behavior and Mortality Risk in Older Adults: Evidence from the Wisconsin Longitudinal Study,2026,Handy F,Handy F,1,NA,Handy F
wls_zotero_82BX4BKF,Voting Behavior and Mortality Risk in Older Adults: Evidence from the Wisconsin Longitudinal Study,2026,Konrath S,Konrath S,2,NA,Konrath S
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Henechowicz TL,Henechowicz TL,1,NA,Henechowicz TL
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Coleman PL,Coleman PL,2,NA,Coleman PL
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Gustavson DE,Gustavson DE,3,NA,Gustavson DE
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Mekki YN,Mekki YN,4,NA,Mekki YN
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Nayak S,Nayak S,5,NA,Nayak S
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Nitin R,Nitin R,6,NA,Nitin R
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Scartozzi AC,Scartozzi AC,7,NA,Scartozzi AC
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Tio ES,Tio ES,8,NA,Tio ES
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,van Klei RTN,van Klei RTN,9,NA,van Klei RTN
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Felsky D,Felsky D,10,NA,Felsky D
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Thaut MH,Thaut MH,11,NA,Thaut MH
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,Gordon RL,Gordon RL,12,NA,Gordon RL
wls_zotero_AMWH67QK,Learning to give: Both genetic and shared environmental influences are reflected in the association between educational attainment and prosocial behaviour,2026,Bekkers R,Bekkers R,1,NA,Bekkers R
wls_zotero_AMWH67QK,Learning to give: Both genetic and shared environmental influences are reflected in the association between educational attainment and prosocial behaviour,2026,Merz EM,Merz EM,2,NA,Merz EM
wls_zotero_AMWH67QK,Learning to give: Both genetic and shared environmental influences are reflected in the association between educational attainment and prosocial behaviour,2026,Li T,Li T,3,NA,Li T
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,Henechowicz T,Henechowicz TL,1,NA,Henechowicz T
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,Wolford B,Wolford B,2,NA,Wolford B
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,Nitin R,Nitin R,3,NA,Nitin R
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,Mekki Y,Mekki YN,4,NA,Mekki Y
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,Scartozzi A,Scartozzi AC,5,NA,Scartozzi A
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,Coleman P,Coleman PL,6,NA,Coleman P
