pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Ding G,Ding G,1,NA,Ding G
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Bohnert KM,Bohnert KM,2,NA,Bohnert KM
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Li C,Li C,3,NA,Li C
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Plassman BL,Plassman BL,4,NA,Plassman BL
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Liang X,Liang X,5,NA,Liang X
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Yuan Y,Yuan Y,6,NA,Yuan Y
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,D'Aloisio AA,D'Aloisio AA,7,NA,D'Aloisio AA
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,White AJ,White AJ,8,NA,White AJ
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Sandler DP,Sandler DP,9,NA,Sandler DP
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,Chen H,Chen H,10,NA,Chen H
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Nalini M,Nalini M,1,NA,Nalini M
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,O'Brien KM,O'Brien KM,2,NA,O'Brien KM
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Calafat AM,Calafat AM,3,NA,Calafat AM
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Wang L,Wang L,4,NA,Wang L
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Feng J,Feng J,5,NA,Feng J
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Reese CM,Reese CM,6,NA,Reese CM
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Xia B,Xia B,7,NA,Xia B
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Botelho JC,Botelho JC,8,NA,Botelho JC
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Wang Y,Wang Y,9,NA,Wang Y
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Seyler T,Seyler T,10,NA,Seyler T
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Roh EJ,Roh EJ,11,NA,Roh EJ
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Tashakkori NA,Tashakkori NA,12,NA,Tashakkori NA
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Blakney A,Blakney A,13,NA,Blakney A
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Xu K,Xu K,14,NA,Xu K
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Gail MH,Gail MH,15,NA,Gail MH
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,Blount BC,Blount BC,16,NA,Blount BC
