pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Barbakoff D,Barbakoff D,1,NA,Barbakoff D
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Glennie K,Glennie K,2,NA,Glennie K
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Yan M,Yan M,3,NA,Yan M
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Trudeau SA,Trudeau SA,4,NA,Trudeau SA
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Nabors E,Nabors E,5,NA,Nabors E
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Pynoos J,Pynoos J,6,NA,Pynoos J
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,2025,Steinman BA,Steinman BA,7,NA,Steinman BA
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Bidwell JT,Bidwell JT,1,NA,Bidwell JT
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Fauer AJ,Fauer AJ,2,NA,Fauer AJ
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Howe RJ,Howe RJ,3,NA,Howe RJ
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Saylor MA,Saylor MA,4,NA,Saylor MA
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Lee CS,Lee CD,5,NA,Lee CS
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,López JE,López JE,6,NA,López JE
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Godden M,Godden M,7,NA,Godden M
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",2025,Hinton L,Hinton L,8,NA,Hinton L
nhats_seq_3,Fall risk prediction in older adults: a generalized linear mixed-effect model analysis based on physical performance measures,2025,Ceballos-Sánchez JL,Ceballos-Sánchez JL,1,NA,Ceballos-Sánchez JL
