pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Ma W,Ma W,1,Department of Epidemiology and Population Health Albert Einstein College of Medicine Bronx NY USA.,Ma W
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Kim RS,Kim RS,2,Department of Epidemiology and Population Health Albert Einstein College of Medicine Bronx NY USA.,Kim RS
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Isasi CR,Isasi CR,3,Department of Epidemiology and Population Health Albert Einstein College of Medicine Bronx NY USA.,Isasi CR
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Gallo LC,Gallo LC,4,Department of Psychology San Diego State University San Diego CA USA.,Gallo LC
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Perreira KM,Perreira KM,5,Department of Social Medicine University of North Carolina School of Medicine Chapel Hill NC USA.,Perreira KM
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Trifan G,Trifan G,6,Department of Neurology and Rehabilitation University of Illinois Chicago Chicago IL USA.,Trifan G
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Daviglus ML,Daviglus ML,7,Department of Medicine University of Illinois Chicago Chicago IL USA.,Daviglus ML
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Pirzada A,Pirzada A,8,Department of Medicine University of Illinois Chicago Chicago IL USA.,Pirzada A
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Sotres-Alvarez D,Sotres-Alvarez D,9,Department of Biostatistics University of North Carolina Chapel Hill Chapel Hill NC USA.,Sotres-Alvarez D
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Cordero C,Cordero C,10,Department of Psychology University of Miami Coral Gables FL USA.,Cordero C
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Penedo FJ,Penedo FJ,11,Department of Psychology University of Miami Coral Gables FL USA.,Penedo FJ
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,Kaplan RC,Kaplan RC,12,Department of Epidemiology and Population Health Albert Einstein College of Medicine Bronx NY USA.,Kaplan RC
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Tasevska N,Tasevska N,1,"College of Health Solutions, Arizona State University, Phoenix, AZ, United States. Electronic address: Natasha.Tasevska@asu.edu.",Tasevska N
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Mossavar-Rahmani Y,Mossavar-Rahmani Y,2,"Department of Epidemiology & Population Health, Albert Einstein College of Medicine, Bronx, NY, United States.",Mossavar-Rahmani Y
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Midthune D,Midthune D,3,"Division of Cancer Prevention, National Cancer Institute, Rockville, MD, United States.",Midthune D
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Barrett B,Barrett B,4,"Information Management Services Inc., Rockville, MD, United States.",Barrett B
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Razis S,Razis S,5,"Information Management Services Inc., Rockville, MD, United States.",Razis S
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Kipnis V,Kipnis V,6,"Division of Cancer Prevention, National Cancer Institute, Rockville, MD, United States.",Kipnis V
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Kaplan R,Kaplan RC,7,"Department of Epidemiology & Population Health, Albert Einstein College of Medicine, Bronx, NY, United States.",Kaplan R
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,O'Brien D,O'Brien D,8,"Institute of Arctic Biology, University of Alaska Fairbanks, Fairbanks, AK, United States.",O'Brien D
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Park Y,Park Y,9,"Division of Public Health Sciences, Washington University School of Medicine in St. Louis, St. Louis, MO, United States.",Park Y
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Beasley J,Beasley JM,10,"Department of Medicine, New York University, New York, NY, United States.",Beasley J
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Van Horn L,Van Horn L,11,"Feinberg School of Medicine, Northwestern University, Chicago, IL, United States.",Van Horn L
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Daviglus M,Daviglus ML,12,"Department of Medicine, University of Illinois Chicago, Chicago, IL, United States.",Daviglus M
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Sotres-Alvarez D,Sotres-Alvarez D,13,"Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States.",Sotres-Alvarez D
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,Freedman LS,Freedman LS,14,"Gertner Institute for Epidemiology and Health Policy Research, Sheba Medical Center, Tel Hashomer, Israel.",Freedman LS
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Dai J,Dai J,1,"Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, CA, USA. Electronic address: daijin@ucla.edu.",Dai J
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Qi Q,Qi Q,2,"Department of Epidemiology and Population Health, Albert Einstein College of Medicine, Bronx, NY, USA. Electronic address: qibin.qi@einsteinmed.edu.",Qi Q
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Nianogo R,Nianogo R,3,"Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, CA, USA. Electronic address: niaroch@ucla.edu.",Nianogo R
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Wong ND,Wong ND,4,"Heart Disease Prevention Program, Division of Cardiology, University of California, Irvine, CA, USA. Electronic address: ndwong@hs.uci.edu.",Wong ND
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Moin T,Moin T,5,"David Geffen School of Medicine, University of California, Los Angeles, CA, USA; HSR&D Center for the Study of Healthcare Innovation, Implementation & Policy, VA Greater Los Angeles Healthcare System, Los Angeles, CA, USA. Electronic address: TMoin@mednet.ucla.edu.",Moin T
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,McClain AC,McClain AC,6,"School of Exercise and Nutritional Sciences, San Diego State University, San Diego, CA, USA. Electronic address: amcclain@sdsu.edu.",McClain AC
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Alver SK,Alver SK,7,"Epidemiology Program, Fred Hutchinson Cancer Center, Seattle, WA, USA. Electronic address: salver@fredhutch.org.",Alver SK
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Cordero C,Cordero C,8,"Department of Psychology, University of Miami, Miami, FL, USA. Electronic address: c.cordero@med.miami.edu.",Cordero C
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Mossavar-Rahmani Y,Mossavar-Rahmani Y,9,"Department of Epidemiology and Population Health, Albert Einstein College of Medicine, Bronx, NY, USA. Electronic address: yasmin.mossavar-rahmani@einsteinmed.edu.",Mossavar-Rahmani Y
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Daviglus ML,Daviglus ML,10,"College of Medicine and Institute for Minority Health Research, University of Illinois at Chicago, Chicago, IL, USA. Electronic address: daviglus@uic.edu.",Daviglus ML
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Sotres-Alvarez D,Sotres-Alvarez D,11,"Department of Biostatistics, University of North Carolina, Chapel Hill, NC, USA. Electronic address: dsotres@unc.edu.",Sotres-Alvarez D
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,Chen L,Chen L,12,"Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, CA, USA. Electronic address: cliwei86@ucla.edu.",Chen L
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Parada H,Parada H,1,"Division of Epidemiology and Biostatistics, School of Public Health, San Diego State University, San Diego, California, USA.",Parada H
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Manoharan L,Manoharan L,2,"Division of Epidemiology and Biostatistics, School of Public Health, San Diego State University, San Diego, California, USA.",Manoharan L
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Aceves B,Aceves B,3,"Division of Health Promotion & Behavioral Science, School of Public Health, San Diego State University, San Diego, California, USA.",Aceves B
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,McDaniels-Davidson C,McDaniels-Davidson C,4,"UC San Diego Health Moores Cancer Center, San Diego, California, USA.",McDaniels-Davidson C
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Wanjerkhede P,Wanjerkhede P,5,"Division of Epidemiology and Biostatistics, School of Public Health, San Diego State University, San Diego, California, USA.",Wanjerkhede P
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Agalliu I,Agalliu I,6,"Department of Epidemiology and Population Health, Albert Einstein College of Medicine, Bronx, New York, USA.",Agalliu I
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Pichardo MS,Pichardo MS,7,"Department of Surgery, Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, USA.",Pichardo MS
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Sotres-Alvarez D,Sotres-Alvarez D,8,"Department of Biostatistics, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA.",Sotres-Alvarez D
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Garcia-Bedoya O,Garcia-Bedoya O,9,"Department of Medicine, University of Illinois Chicago, Chicago, Illinois, USA.",Garcia-Bedoya O
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Cordero C,Cordero C,10,"Department of Psychology, University of Miami, Coral Gables, Florida, USA.",Cordero C
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Rosas SE,Rosas SE,11,"Joslin Diabetes Center, Boston, Massachusetts, USA.",Rosas SE
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Penedo FJ,Penedo FJ,12,"Department of Psychology, University of Miami, Coral Gables, Florida, USA.",Penedo FJ
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Thyagarajan B,Thyagarajan B,13,"Department of Laboratory Medicine & Pathology, University of Minnesota, Minneapolis, Minnesota, USA.",Thyagarajan B
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Daviglus ML,Daviglus ML,14,"Institute for Minority Health Research, University of Illinois Chicago, Chicago, Illinois, USA.",Daviglus ML
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Talavera GA,Talavera GA,15,"Department of Psychology, San Diego State University, San Diego, California, USA.",Talavera GA
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,Gallo LC,Gallo LC,16,"Department of Psychology, San Diego State University, San Diego, California, USA.",Gallo LC
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,González KA,González KA,1,"Department of Neurosciences and Shiley-Marcos Alzheimer's Disease Research Center, University of California San Diego School of Medicine, San Diego, CA, United States.",González KA
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Membreno R,Membreno R,2,"Department of Psychology, San Diego State University, San Diego, CA, United States.",Membreno R
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Tarraf W,Tarraf W,3,"Department of Healthcare Sciences and Institute of Gerontology, Wayne State University, Detroit, MI, United States.",Tarraf W
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Stickel AM,Stickel AM,4,"Department of Psychology, San Diego State University, San Diego, CA, United States.",Stickel AM
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,DeCarli C,DeCarli C,5,"Department of Neurology, University of California, Davis, Davis, CA, United States.",DeCarli C
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Marquez F,Marquez F,6,"Department of Neurosciences and Shiley-Marcos Alzheimer's Disease Research Center, University of California San Diego School of Medicine, San Diego, CA, United States.",Marquez F
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Agudelo C,Agudelo C,7,"Department of Neurology, University of Miami Miller School of Medicine, Miami, FL, United States.",Agudelo C
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Patel SR,Patel SR,8,"Division of Pulmonary, Allergy, Critical Care and Sleep Medicine, University of Pittsburgh, Pittsburgh, PA, United States.",Patel SR
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Gallo LC,Gallo LC,9,"Department of Psychology and South Bay Latino Research Center, San Diego State University, San Diego, CA, United States.",Gallo LC
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Bubu O,Bubu O,10,"Department of Neurology, University of Miami Miller School of Medicine, Miami, FL, United States.",Bubu O
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Daviglus M,Daviglus ML,11,"Institute for Minority Health Research, University of Illinois at Chicago, College of Medicine, Chicago, IL, United States.",Daviglus M
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Testai FD,Testai FD,12,"Department of Neurology and Rehabilitation, University of Illinois College of Medicine, Chicago, IL, United States.",Testai FD
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Sotres-Alvarez D,Sotres-Alvarez D,13,"Collaborative Studies Coordinating Center, Department of Biostatistics, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States.",Sotres-Alvarez D
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Penedo FJ,Penedo FJ,14,"Department of Medical Social Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States.",Penedo FJ
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Junco B,Junco B,15,"Department of Neurology, University of Miami Miller School of Medicine, Miami, FL, United States.",Junco B
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,González HM,González HM,16,"Department of Neurosciences and Shiley-Marcos Alzheimer's Disease Research Center, University of California San Diego School of Medicine, San Diego, CA, United States.",González HM
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,Ramos AR,Ramos AR,17,"Department of Neurology, University of Miami Miller School of Medicine, Miami, FL, United States.",Ramos AR
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Plante TB,Plante TB,1,Department of Medicine Larner College of Medicine at the University of Vermont Burlington VT USA.,Plante TB
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Sun Y,Sun Y,2,Department of Biostatistics Columbia University Mailman School of Public Health New York NY USA.,Sun Y
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Balte PP,Balte PP,3,"Department of Medicine, Division of General Medicine Columbia University Irving Medical Center New York NY USA.",Balte PP
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Lloyd-Jones D,Lloyd-Jones D,4,Framingham Center for Population and Prevention Science Boston University Chobanian and Avedisian School of Medicine Boston MA USA.,Lloyd-Jones D
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Ning H,Ning H,5,"Department of Preventive Medicine, Feinberg School of Medicine Northwestern University Chicago IL USA.",Ning H
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Allen N,Allen NB,6,"Department of Preventive Medicine, Feinberg School of Medicine Northwestern University Chicago IL USA.",Allen N
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Mongraw-Chaffin M,Mongraw-Chaffin M,7,"MedStar Health Research Institute, Population Health Research Columbia MD USA.",Mongraw-Chaffin M
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Pettee Gabriel K,Pettee Gabriel K,8,Department of Epidemiology University of Alabama at Birmingham AL USA.,Pettee Gabriel K
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,Xanthakis V,Xanthakis V,9,Department of Medicine Boston University Chobanian and Avedisian School of Medicine Boston MA USA.,Xanthakis V
