pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
42404567,Depressive symptoms and risk of incident activities of daily living disability among older adults with symptomatic arthritis.,2026,Cui J,Cui J,1,"The First School of Clinical Medicine, Zhejiang Chinese Medical University, Hangzhou, China.",Cui J
42404567,Depressive symptoms and risk of incident activities of daily living disability among older adults with symptomatic arthritis.,2026,Kang J,Kang JY,2,"The Third Affiliated Hospital of Zhejiang Chinese Medical University, Hangzhou, China.",Kang J
42404567,Depressive symptoms and risk of incident activities of daily living disability among older adults with symptomatic arthritis.,2026,Li S,Li S,3,"Jiangnan Hospital Affiliated to Zhejiang Chinese Medical University, Hangzhou, China.",Li S
42404567,Depressive symptoms and risk of incident activities of daily living disability among older adults with symptomatic arthritis.,2026,Zeng L,Zeng L,4,"Jiangnan Hospital Affiliated to Zhejiang Chinese Medical University, Hangzhou, China.",Zeng L
42404567,Depressive symptoms and risk of incident activities of daily living disability among older adults with symptomatic arthritis.,2026,Li C,Li C,5,"Jiangnan Hospital Affiliated to Zhejiang Chinese Medical University, Hangzhou, China.",Li C
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Hu X,Hu X,1,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China.",Hu X
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Wu Z,Wu Z,2,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China.",Wu Z
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Zhang X,Zhang X,3,"Center for Rehabilitation Medicine, Department of Anesthesiology, Zhejiang Provincial People's Hospital Affiliated People's Hospital, Hangzhou Medical College, Hangzhou, Zhejiang, 310014, China.",Zhang X
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Wang Y,Wang Y,4,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China.",Wang Y
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Xie K,Xie K,5,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China.",Xie K
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Fan Y,Fan Y,6,"Center for Rehabilitation Medicine, Department of Orthopedics, Zhejiang Provincial People's Hospital, Affiliated People's Hospital of Hangzhou Medical College, Hangzhou, Zhejiang, China.",Fan Y
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Zhang D,Zhang D,7,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China.",Zhang D
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Feng D,Feng D,8,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China. dechao.feng@ucl.ac.uk.",Feng D
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Bai Y,Bai Y,9,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China. baiyuchen125@outlook.com.",Bai Y
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,Zhang Q,Zhang Q,10,"Urology & Nephrology Center, Department of Urology, Zhejiang Provincial People's Hospital (Affiliated People's Hospital), Hangzhou Medical College, Hangzhou, Zhejiang, China. zhangqi1@hmc.edu.cn.",Zhang Q
42401063,Mobility limitation trajectories and longitudinal changes in delayed recall in midlife and later life: A multicohort study.,2026,Xie J,Xie JH,1,"School of Physical Education, Central China Normal University, Wuhan, 430079, China. Electronic address: xiejingyi1999@outlook.com.",Xie J
42401063,Mobility limitation trajectories and longitudinal changes in delayed recall in midlife and later life: A multicohort study.,2026,Wang B,Wang B,2,"School of Physical Education, Central China Normal University, Wuhan, 430079, China. Electronic address: 19107138519@163.com.",Wang B
42400653,Association of the red blood cell distribution width-to-albumin ratio with incident depression and depressive symptom trajectories in older adults.,2026,Jiang Z,Jiang Z,1,"Guizhou University of Traditional Chinese Medicine, Guiyang, 550001, China.",Jiang Z
42400653,Association of the red blood cell distribution width-to-albumin ratio with incident depression and depressive symptom trajectories in older adults.,2026,Cai X,Cai X,2,"The First People's Hospital of Guiyang, Guiyang, 550001, China.",Cai X
42400653,Association of the red blood cell distribution width-to-albumin ratio with incident depression and depressive symptom trajectories in older adults.,2026,Tang F,Tang F,3,"Guizhou University of Traditional Chinese Medicine, Guiyang, 550001, China.",Tang F
42400653,Association of the red blood cell distribution width-to-albumin ratio with incident depression and depressive symptom trajectories in older adults.,2026,Zhao Z,Zhao Z,4,"The First People's Hospital of Guiyang, Guiyang, 550001, China.",Zhao Z
42400653,Association of the red blood cell distribution width-to-albumin ratio with incident depression and depressive symptom trajectories in older adults.,2026,Lin H,Lin HC,5,"Department of Nursing, Taizhou Municipal Hospital (Taizhou University Affiliated Municipal Hospital), Taizhou University, Taizhou, 318000, China. SLYY_02372@tzc.edu.cn.",Lin H
42399884,Associations between immunosenescence and domain-specific cognition in the Health and Retirement Study Harmonized Cognitive Assessment Protocol.,2026,Noppert GA,Noppert GA,1,"Institute for Social Research, University of Michigan, 426 Thompson St., Ann Arbor, MI, 48104, USA. gnoppert@umich.edu.",Noppert GA
42399884,Associations between immunosenescence and domain-specific cognition in the Health and Retirement Study Harmonized Cognitive Assessment Protocol.,2026,Stebbins RC,Stebbins RC,2,"Robert N Butler Columbia Aging Center & Department of Epidemiology, Mailman School of Public Health, Columbia University, 722 W. 168 St., New York, NY, 10032, USA.",Stebbins RC
42399884,Associations between immunosenescence and domain-specific cognition in the Health and Retirement Study Harmonized Cognitive Assessment Protocol.,2026,Zhang KP,Zhang K,3,"Center for Social Epidemiology and Population Health, Department of Epidemiology, University of Michigan School of Public Health, 1415 Washington Heights, Ann Arbor, MI, 48109, USA.",Zhang KP
