pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
midus_doi_10_3390_bioengineering13030339,Stable longitudinal screening of latent physiological dysregulation from psychometric data using machine learning,2026,Alecu A A,Alecu A A,1,NA,Alecu A A
midus_doi_10_1177_13591053251344741,Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation,2026,Allard B C,Allard B C,1,NA,Allard B C
midus_doi_10_1177_13591053251344741,Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation,2026,Boehm J K,Boehm J K,2,NA,Boehm J K
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Arigo D,Arigo D,1,NA,Arigo D
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Baga K,Baga K,2,NA,Baga K
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Folk A L,Folk A L,3,NA,Folk A L
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Salvatore G M,Salvatore G M,4,NA,Salvatore G M
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Bercovitz I,Bercovitz I,5,NA,Bercovitz I
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Singh R,Singh R,6,NA,Singh R
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Konig L M,Konig L M,7,NA,Konig L M
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Butryn M L,Butryn M L,8,NA,Butryn M L
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,2026,Mogle J A,Mogle J,9,NA,Mogle J A
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Ashe J J,Ashe J J,1,NA,Ashe J J
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Bather J R,Bather J R,2,NA,Bather J R
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Crump A A,Crump A A,3,NA,Crump A A
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Sims M,Sims M,4,NA,Sims M
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Faber K E,Faber K E,5,NA,Faber K E
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Williams D R,Williams D R,6,NA,Williams D R
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",2026,Cuevas A G,Cuevas A G,7,NA,Cuevas A G
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Ashour L,Ashour L,1,NA,Ashour L
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Albweitel T,Albweitel T,2,NA,Albweitel T
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Rahmeh J A,Rahmeh J A,3,NA,Rahmeh J A
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Alfawadleh M,Alfawadleh M,4,NA,Alfawadleh M
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,El Sharabi A,El Sharabi A,5,NA,El Sharabi A
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Shareah R A,Shareah R A,6,NA,Shareah R A
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Alomari Z,Alomari Z,7,NA,Alomari Z
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Alhawwari A,Alhawwari A,8,NA,Alhawwari A
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Alkalouti M,Alkalouti M,9,NA,Alkalouti M
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Al-Nawaiseh N F,Al-Nawaiseh N F,10,NA,Al-Nawaiseh N F
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Ababneh M S,Ababneh M S,11,NA,Ababneh M S
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",2026,Kaoukji A,Kaoukji A,12,NA,Kaoukji A
midus_doi_10_1515_hmbci_2025_0055,Investigating the association between creatinine-adjusted urinary catecholamines and site-specific bone mineral density in older adults,2026,Ashour L,Ashour L,1,NA,Ashour L
