pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
prosper_node_227,A controlled parenting skills outcome study examining individual difference and attendance effects,1995,Spoth R,Spoth R,1,NA,Spoth R
prosper_node_227,A controlled parenting skills outcome study examining individual difference and attendance effects,1995,Redmond C,Redmond C,2,NA,Redmond C
prosper_node_227,A controlled parenting skills outcome study examining individual difference and attendance effects,1995,Haggerty KP,Haggerty KP,3,NA,Haggerty KP
prosper_node_227,A controlled parenting skills outcome study examining individual difference and attendance effects,1995,Ward T,Ward T,4,NA,Ward T
prosper_node_421,A developmental perspective on young adult romantic relationships: Examining family and individual factors in adolescence,2018,Xia M,Xia M,1,NA,Xia M
prosper_node_421,A developmental perspective on young adult romantic relationships: Examining family and individual factors in adolescence,2018,Fosco GM,Fosco GM,2,NA,Fosco GM
prosper_node_421,A developmental perspective on young adult romantic relationships: Examining family and individual factors in adolescence,2018,Lippold MA,Lippold MA,3,NA,Lippold MA
prosper_node_421,A developmental perspective on young adult romantic relationships: Examining family and individual factors in adolescence,2018,Feinberg ME,Feinberg ME,4,NA,Feinberg ME
prosper_node_71,A dyadic approach to understanding the relationship of maternal knowledge of youths' activities to youths' problem behavior among rural adolescents,2011,Lippold MA,Lippold MA,1,NA,Lippold MA
prosper_node_71,A dyadic approach to understanding the relationship of maternal knowledge of youths' activities to youths' problem behavior among rural adolescents,2011,Greenberg MT,Greenberg MT,2,NA,Greenberg MT
prosper_node_71,A dyadic approach to understanding the relationship of maternal knowledge of youths' activities to youths' problem behavior among rural adolescents,2011,Feinberg ME,Feinberg ME,3,NA,Feinberg ME
prosper_node_268,"A framework for building community-partnership capacity to promote youth development and prevent substance-related problems: Practitioner and scientist tasks, resources and issues",2003,Spoth R,Spoth R,1,NA,Spoth R
prosper_node_267,A generalizability approach to assessing the effects of ethnicity and training on observer ratings of family interactions,2003,Melby JN,Melby JN,1,NA,Melby JN
prosper_node_267,A generalizability approach to assessing the effects of ethnicity and training on observer ratings of family interactions,2003,Hoyt WT,Hoyt WT,2,NA,Hoyt WT
prosper_node_267,A generalizability approach to assessing the effects of ethnicity and training on observer ratings of family interactions,2003,Bryant CM,Bryant CM,3,NA,Bryant CM
prosper_node_296,A model of the effects of protective parent and peer factors on young adolescent alcohol refusal skills,1996,Spoth R,Spoth R,1,NA,Spoth R
prosper_node_296,A model of the effects of protective parent and peer factors on young adolescent alcohol refusal skills,1996,Yoo S,Yoo S,2,NA,Yoo S
prosper_node_296,A model of the effects of protective parent and peer factors on young adolescent alcohol refusal skills,1996,Kahn JH,Kahn JH,3,NA,Kahn JH
