pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Bild DE,Bild DE,1,NA,Bild DE
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Bluemke DA,Bluemke DA,2,NA,Bluemke DA
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Burke GL,Burke GL,3,NA,Burke GL
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Detrano R,Detrano R,4,NA,Detrano R
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Diez Roux AV,Diez Roux AV,5,NA,Diez Roux AV
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Folsom AR,Folsom AR,6,NA,Folsom AR
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Greenland P,Greenland P,7,NA,Greenland P
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Jacob DR Jr.,Jacob DR Jr.,8,NA,Jacob DR Jr.
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Kronmal R,Kronmal RA,9,NA,Kronmal R
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Liu K,Liu K,10,NA,Liu K
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Nelson JC,Nelson JC,11,NA,Nelson JC
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,O'Leary D,O'Leary D,12,NA,O'Leary D
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Saad MF,Saad MF,13,NA,Saad MF
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,2002,Shea S,Shea S,14,NA,Shea S
