pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Brouwer RM,Brouwer RM,1,NA,Brouwer RM
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Klein M,Klein M,2,NA,Klein M
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Grasby KL,Grasby KL,3,NA,Grasby KL
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Schnack HG,Schnack HG,4,NA,Schnack HG
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Jahanshad N,Jahanshad N,5,NA,Jahanshad N
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Teeuw J,Teeuw J,6,NA,Teeuw J
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Thomopoulos SI,Thomopoulos SI,7,NA,Thomopoulos SI
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Sprooten E,Sprooten E,8,NA,Sprooten E
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Franz CE,Franz CE,9,NA,Franz CE
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Gogtay N,Gogtay N,10,NA,Gogtay N
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Kremen WS,Kremen WS,11,NA,Kremen WS
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Panizzon MS,Panizzon MS,12,NA,Panizzon MS
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Olde Loohuis LM,Olde Loohuis LM,13,NA,Olde Loohuis LM
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Whelan CD,Whelan CD,14,NA,Whelan CD
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Aghajani M,Aghajani M,15,NA,Aghajani M
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Alloza C,Alloza C,16,NA,Alloza C
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Alnæs D,Alnæs D,17,NA,Alnæs D
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Artiges E,Artiges E,18,NA,Artiges E
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Ayesa-Arriola R,Ayesa-Arriola R,19,NA,Ayesa-Arriola R
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Barker GJ,Barker GJ,20,NA,Barker GJ
abcd_35383335,Genetic variants associated with longitudinal changes in brain structure across the lifespan.,2022,Bastin ME,Bastin ME,21,NA,Bastin ME
