pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Bever AM,Bever AM,1,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Bever AM
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Du M,Du M,2,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Du M
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Eliassen AH,Eliassen AH,3,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Eliassen AH
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Giovannucci E,Giovannucci EL,4,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Giovannucci E
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Liang L,Liang L,5,"Departments of Epidemiology and Biostatistics, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Liang L
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Stampfer MJ,Stampfer MJ,6,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Stampfer MJ
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Rimm E,Rimm EB,7,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Rimm E
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Willett W,Willett WC,8,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Willett W
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Hu FB,Hu FB,9,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Hu FB
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,Song M,Song M,10,"Departments of Epidemiology and Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States.",Song M
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Farland LV,Farland LV,1,"Department of Epidemiology and Biostatistics, Mel and Enid Zuckerman College of Public Health, University of Arizona, Tucson, AZ, USA. lfarland@arizona.edu.",Farland LV
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Degnan WJ,Degnan WJ,2,"Department of Epidemiology and Biostatistics, Mel and Enid Zuckerman College of Public Health, University of Arizona, Tucson, AZ, USA.",Degnan WJ
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Wang S,Wang S,3,"Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, USA.",Wang S
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Gaskins AJ,Gaskins AJ,4,"Department of Epidemiology, Rollins School of Public Health, Emory University, Atlanta, GA, USA.",Gaskins AJ
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Chavarro JE,Chavarro JE,5,"Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, USA.",Chavarro JE
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Rich-Edwards JW,Rich-Edwards JW,6,"Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA, USA.",Rich-Edwards JW
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Tobias DK,Tobias DK,7,"Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, USA.",Tobias DK
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,Missmer SA,Missmer SA,8,"Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA, USA. missmer@med.umich.edu.",Missmer SA
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Romanos-Nanclares A,Romanos-Nanclares A,1,"Channing Division of Network Medicine, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA. nharo@channing.harvard.edu.",Romanos-Nanclares A
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Bui LP,Bui LP,2,"Department of Nutrition, Harvard T. H. Chan School of Public Health, Boston, MA, USA.",Bui LP
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Rosner BA,Rosner B,3,"Channing Division of Network Medicine, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA.",Rosner BA
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Willett WC,Willett WC,4,"Department of Nutrition, Harvard T. H. Chan School of Public Health, Boston, MA, USA.",Willett WC
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Holmes MD,Holmes MD,5,"Channing Division of Network Medicine, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA.",Holmes MD
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Chen WY,Chen WY,6,"Channing Division of Network Medicine, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA.",Chen WY
42380484,Planetary Health Diet Index and breast cancer risk.,2026,Eliassen AH,Eliassen AH,7,"Channing Division of Network Medicine, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA.",Eliassen AH
42363613,Maternal Cesarean Section and Offspring ASD or ADHD Risk: A Nurses' Health Study II Analysis.,2026,Xiao J,Xiao J,1,"Department of Environmental Health Sciences, Yale School of Public Health, New Haven, CT, United States.",Xiao J
42363613,Maternal Cesarean Section and Offspring ASD or ADHD Risk: A Nurses' Health Study II Analysis.,2026,Choi HM,Choi HK,2,"Departments of Environmental Health and Epidemiology, Harvard T.H. Chan School of Public Health, Harvard University, Boston, MA, United States.",Choi HM
42363613,Maternal Cesarean Section and Offspring ASD or ADHD Risk: A Nurses' Health Study II Analysis.,2026,Yim G,Yim G,3,"Department of Epidemiology, Geisel School of Medicine, Dartmouth College, Hanover, NH, United States.",Yim G
