pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
42336651,"Letter: Associations between vasomotor symptoms, sleep disturbances, and frequent mood changes individually and within symptom groups across the menopausal transition and early postmenopause: observations from the Study of Women's Health Across the Nation.",2026,Qiu C,Qiu C,1,"Department of Gynecology Sanming Hospital of Integrated Medicine Sanming, China.",Qiu C
42336651,"Letter: Associations between vasomotor symptoms, sleep disturbances, and frequent mood changes individually and within symptom groups across the menopausal transition and early postmenopause: observations from the Study of Women's Health Across the Nation.",2026,Liu X,Liu X,2,NA,Liu X
42336651,"Letter: Associations between vasomotor symptoms, sleep disturbances, and frequent mood changes individually and within symptom groups across the menopausal transition and early postmenopause: observations from the Study of Women's Health Across the Nation.",2026,Zhao M,Zhao M,3,NA,Zhao M
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Bozzuto LM,Bozzuto LM,1,"Department of Obstetrics and Gynecology, University of Wisconsin School of Medicine and Public Health, Madison, WI; Department of Surgery, University of Colorado Anschutz Medical Campus, Aurora, CO. Electronic address: laura.bozzuto@cuanchutz.edu.",Bozzuto LM
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Acharya K,Acharya K,2,"Duke Fertility Center, Morrisville, NC.",Acharya K
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Shiferaw B,Shiferaw B,3,"Department of Biostatistics and Informatics, University of Colorado Anschutz Medical Campus, Aurora, CO.",Shiferaw B
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Kaizer LK,Kaizer LK,4,"Department of Biostatistics and Informatics, University of Colorado Anschutz Medical Campus, Aurora, CO.",Kaizer LK
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Finkelstein JS,Finkelstein JS,5,"Harvard Medical School, Boston, MA.",Finkelstein JS
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Neal-Perry G,Neal-Perry G,6,"Department of Obstetrics and Gynecology, University of North Carolina, Chapel Hill, NC.",Neal-Perry G
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Karlamangla A,Karlamangla AS,7,"Department of Medicine, UCLA School of Medicine, Los Angeles, CA.",Karlamangla A
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Morrison A,Morrison A,8,"Ansch Labs, Webster, TX.",Morrison A
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Santoro N,Santoro N,9,"Department of Surgery, University of Colorado Anschutz Medical Campus, Aurora, CO.",Santoro N
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,2026,Sammel MD,Sammel MD,10,"Department of Biostatistics and Informatics, University of Colorado Anschutz Medical Campus, Aurora, CO.",Sammel MD
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,2026,Shieh A,Shieh A,1,"Department of Medicine, David Geffen School of Medicine at University of California, Los Angeles, CA 90095, United States.",Shieh A
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,2026,Karlamangla AS,Karlamangla AS,2,"Department of Medicine, David Geffen School of Medicine at University of California, Los Angeles, CA 90095, United States.",Karlamangla AS
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,2026,Gossiel F,Gossiel F,3,"Division of Clinical Medicine, Mellanby Centre for Musculoskeletal Research, University of Sheffield, Sheffield S5qAU, United Kingdom.",Gossiel F
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,2026,Eastell R,Eastell R,4,"Division of Clinical Medicine, Mellanby Centre for Musculoskeletal Research, University of Sheffield, Sheffield S5qAU, United Kingdom.",Eastell R
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,2026,Burnett-Bowie SA,Burnett-Bowie SM,5,"Massachusetts General Hospital Endocrine Unit, Harvard Medical School, Boston, MA 02114, United States.",Burnett-Bowie SA
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,2026,Greendale GA,Greendale GA,6,"Department of Medicine, David Geffen School of Medicine at University of California, Los Angeles, CA 90095, United States.",Greendale GA
42210082,Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study.,2026,Childs H,Childs H,1,"Department of Nutrition and Food Science, University of Maryland, College Park, MD, USA.",Childs H
42210082,Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study.,2026,Frankenfeld CL,Frankenfeld CL,2,"MaineHealth Institute for Research, Center for Interdisciplinary & Population Health Research, Westbrook, ME, USA.",Frankenfeld CL
42210082,Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study.,2026,Dailey A,Dailey A,3,"Institute of Advanced Biomedical Research, George Mason University, Fairfax, VA, USA.",Dailey A
42210082,Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study.,2026,Couch R,Couch R,4,"Institute of Advanced Biomedical Research, George Mason University, Fairfax, VA, USA.",Couch R
42210082,Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study.,2026,Slavin M,Slavin M,5,"Department of Nutrition and Food Science, University of Maryland, College Park, MD, USA. mms@umd.edu.",Slavin M
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,2026,Yu M,Yu M,1,"Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, United States.",Yu M
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,2026,Wu Z,Wu Z,2,"Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, United States.",Wu Z
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,2026,Hood MM,Hood MM,3,"Department of Epidemiology, University of Michigan, Ann Arbor, MI 48109, United States.",Hood MM
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,2026,Karvonen-Gutierrez C,Karvonen-Gutierrez CA,4,"Department of Epidemiology, University of Michigan, Ann Arbor, MI 48109, United States.",Karvonen-Gutierrez C
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,2026,Harlow SD,Harlow SD,5,"Department of Epidemiology, University of Michigan, Ann Arbor, MI 48109, United States.",Harlow SD
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,2026,Elliott MR,Elliott MR,6,"Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, United States.",Elliott MR
42154531,Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation.,2026,Doyle CY,Doyle CY,1,"Psychiatry and Behavioral Sciences, Rush University Medical Center, Chicago, IL, United States.",Doyle CY
42154531,Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation.,2026,Chang Y,Chang Y,2,"Neurosurgery, University of Pittsburgh, Pittsburgh, PA, United States.",Chang Y
42154531,Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation.,2026,Kravitz HM,Kravitz HM,3,"Psychiatry and Behavioral Sciences, Rush University Medical Center, Chicago, IL, United States.",Kravitz HM
42154531,Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation.,2026,Avis NE,Avis NE,4,"Social Sciences and Health Policy, Wake Forest University School of Medicine, Winston Salem, NC, United States.",Avis NE
42154531,Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation.,2026,Thurston RC,Thurston RC,5,"Neurosurgery, University of Pittsburgh, Pittsburgh, PA, United States.",Thurston RC
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Desai S,Desai S,1,"Air and Climate Epidemiology Section, Office of Environmental Health Hazard Assessment, California Environmental Protection Agency, Oakland, CA, United States of America.",Desai S
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Wu XM,Wu XM,2,"Air and Climate Epidemiology Section, Office of Environmental Health Hazard Assessment, California Environmental Protection Agency, Oakland, CA, United States of America.",Wu XM
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Hyun J,Hyun J,3,"Department of Neurology, Albert Einstein College of Medicine, Bronx, NY, United States of America.",Hyun J
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Derby CA,Derby CA,4,"Department of Neurology, Albert Einstein College of Medicine, Bronx, NY, United States of America.",Derby CA
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Waetjen LE,Waetjen LE,5,"Department of Obstetrics and Gynecology, School of Medicine, University of California Davis, Davis, CA, United States of America.",Waetjen LE
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Appelhans BM,Appelhans BM,6,"Department of Family and Preventive Medicine, Rush University Medical Center, Chicago, IL, United States of America.",Appelhans BM
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Park SK,Park SK,7,"Departments of Epidemiology and Environmental Health Sciences, School of Public Health, University of Michigan, Ann Arbor, MI, United States of America.",Park SK
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.",2026,Ebisu K,Ebisu K,8,"Air and Climate Epidemiology Section, Office of Environmental Health Hazard Assessment, California Environmental Protection Agency, Oakland, CA, United States of America.",Ebisu K
42130815,Association between loneliness and social isolation and health outcomes among cancer survivors and non-cancer controls.,2026,Avis NE,Avis NE,1,"Department of Social Sciences and Health Policy, Wake Forest University School of Medicine, Winston-Salem, NC, United States.",Avis NE
42130815,Association between loneliness and social isolation and health outcomes among cancer survivors and non-cancer controls.,2026,Crawford S,Crawford SL,2,"Tan Chingfen Graduate School of Nursing, UMass Chan Medical School, Worcester, MA, United States.",Crawford S
42130815,Association between loneliness and social isolation and health outcomes among cancer survivors and non-cancer controls.,2026,Colvin A,Colvin A,3,"Department of Epidemiology, University of Pittsburgh, Pittsburgh, PA, United States.",Colvin A
42112893,Dual trajectories of allostatic load and depression among perimenopausal women.,2026,Sun Z,Sun Z,1,"School of Nursing, Anhui Medical University, Hefei, Anhui, China.",Sun Z
42112893,Dual trajectories of allostatic load and depression among perimenopausal women.,2026,Huang H,Huang HH,2,"School of Nursing, Anhui Medical University, Hefei, Anhui, China.",Huang H
42112893,Dual trajectories of allostatic load and depression among perimenopausal women.,2026,Xie L,Xie L,3,"School of Nursing, Anhui Medical University, Hefei, Anhui, China.",Xie L
42112893,Dual trajectories of allostatic load and depression among perimenopausal women.,2026,Li Y,Li Y,4,"School of Nursing, Anhui Medical University, Hefei, Anhui, China.",Li Y
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,2026,Wang D,Wang D,1,"Department of Nursing, Shantou University Medical College, Shantou, Guangdong Province, China.",Wang D
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,2026,Wang F,Wang F,2,"Guangzhou Women and Children's Medical Center, Guangzhou Medical University, Guangzhou, Guangdong, China.",Wang F
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,2026,Zheng J,Zheng J,3,"The Fourth Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China.",Zheng J
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,2026,Chen X,Chen X,4,"Department of Nursing, Shantou University Medical College, Shantou, Guangdong Province, China.",Chen X
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,2026,Lei Y,Lei Y,5,"Department of Nursing, Shantou University Medical College, Shantou, Guangdong Province, China.",Lei Y
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,2026,Su J,Su J,6,"Department of Nursing, Shantou University Medical College, Shantou, Guangdong Province, China.",Su J
42076794,Post-stroke cognitive decline among women in midlife.,2026,Jacobs M,Jacobs M,1,"Department of Health Services Research, Management and Policy, College of Public Health and Health Professions, University of Florida, Gainesville, FL, USA.",Jacobs M
42076794,Post-stroke cognitive decline among women in midlife.,2026,Evans E,Evans E,2,"Department of Speech, Language and Hearing Sciences, Communication Equity and Outcomes Laboratory, College of Public Health and Health Professions, University of Florida, Gainesville, FL, USA.",Evans E
42076794,Post-stroke cognitive decline among women in midlife.,2026,Ellis C,Ellis C,3,"Department of Speech, Language and Hearing Sciences, Communication Equity and Outcomes Laboratory, College of Public Health and Health Professions, University of Florida, Gainesville, FL, USA.",Ellis C
42074990,Phosphorus Intake and Cancer Risk: A Theoretical-Conceptual Model and Hypothesis for Population-Study Replication.,2026,Brown RB,Brown RB,1,"Waterloo Institute for Complexity and Innovation, University of Waterloo, Waterloo, ON N2L 3G1, Canada.",Brown RB
41967749,Per- and polyfluoroalkyl substances and incident metabolic syndrome in midlife women: The Study of Women's Health Across the Nation (SWAN).,2026,Kessler BR,Kessler BR,1,"Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor, MI 48109, USA.",Kessler BR
41967749,Per- and polyfluoroalkyl substances and incident metabolic syndrome in midlife women: The Study of Women's Health Across the Nation (SWAN).,2026,Zhang W,Zhang W,2,"Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor, MI 48109, USA.",Zhang W
41967749,Per- and polyfluoroalkyl substances and incident metabolic syndrome in midlife women: The Study of Women's Health Across the Nation (SWAN).,2026,Karvonen-Gutierrez CA,Karvonen-Gutierrez CA,3,"Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor, MI 48109, USA.",Karvonen-Gutierrez CA
41967749,Per- and polyfluoroalkyl substances and incident metabolic syndrome in midlife women: The Study of Women's Health Across the Nation (SWAN).,2026,Herman WH,Herman WH,4,"Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor, MI 48109, USA; Department of Internal Medicine, School of Medicine, University of Michigan, Ann Arbor, MI 48109, USA.",Herman WH
41967749,Per- and polyfluoroalkyl substances and incident metabolic syndrome in midlife women: The Study of Women's Health Across the Nation (SWAN).,2026,Mukherjee B,Mukherjee B,5,"Department of Biostatistics, Yale School of Public Health, New Haven, CT 06510, USA.",Mukherjee B
41967749,Per- and polyfluoroalkyl substances and incident metabolic syndrome in midlife women: The Study of Women's Health Across the Nation (SWAN).,2026,Park SK,Park SK,6,"Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor, MI 48109, USA; Department of Environmental Health Sciences, School of Public Health, University of Michigan, Ann Arbor, MI 48109, USA. Electronic address: sungkyun@umich.edu.",Park SK
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Jackson EA,Jackson EA,1,"Division of Cardiovascular Disease, Heersink School of Medicine, University of Alabama at Birmingham, Birmingham, Alabama, United States.",Jackson EA
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Karvonen-Gutierrez CA,Karvonen-Gutierrez CA,2,"Department of Epidemiology, University of Michigan, Ann Arbor, Michigan, United States.",Karvonen-Gutierrez CA
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Brooks MM,Brooks MM,3,"School of Public Health, Department of Epidemiology, University of Pittsburgh, Pittsburgh, Pennsylvania, United States.",Brooks MM
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Strotmeyer E,Strotmeyer ES,4,"School of Public Health, Department of Epidemiology, University of Pittsburgh, Pittsburgh, Pennsylvania, United States.",Strotmeyer E
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Lange-Maia BS,Lange-Maia BS,5,"Department of Family and Preventive Medicine and Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, United States.",Lange-Maia BS
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Solomon DH,Solomon DH,6,"Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, United States.",Solomon DH
41837362,Metabolic syndrome duration and risk of frailty among midlife women: the Study of Women's Health Across the Nation.,2026,Hood MM,Hood MM,7,"Department of Epidemiology, University of Michigan, Ann Arbor, Michigan, United States.",Hood MM
