pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
42341602,A balance-weighted gait score (BWGS) reflects biomechanical and control features of gait in older adults.,2026,Ko SU,Ko SU,1,"Department of Mechanical Engineering, Chonnam National University, Yeosu, South Korea. Electronic address: seunguk.ko@gmail.com.",Ko SU
42341602,A balance-weighted gait score (BWGS) reflects biomechanical and control features of gait in older adults.,2026,Jerome GJ,Jerome GJ,2,"College of Health Professions, Towson University, Towson, MD, USA.",Jerome GJ
42341602,A balance-weighted gait score (BWGS) reflects biomechanical and control features of gait in older adults.,2026,Simonsick EM,Simonsick EM,3,"Translational Gerontology Branch, National Institute on Aging (NIA/NIH), Baltimore, MD, USA.",Simonsick EM
42341602,A balance-weighted gait score (BWGS) reflects biomechanical and control features of gait in older adults.,2026,Ferrucci L,Ferrucci L,4,"Translational Gerontology Branch, National Institute on Aging (NIA/NIH), Baltimore, MD, USA.",Ferrucci L
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Olinger B,Olinger B,1,"Translational Gerontology Branch, National Institute on Aging, NIH, Baltimore, MD, USA; Department of Biology, Johns Hopkins University, Baltimore, MD, USA.",Olinger B
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Anerillas C,Anerillas C,2,"Tissue and Organ Homeostasis Program, Centro de Biología Molecular Severo Ochoa (CBM), Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain.",Anerillas C
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Herman AB,Herman AB,3,"Laboratory of Cardiovascular Science, National Institute on Aging, NIH, Baltimore, MD, USA.",Herman AB
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Tsitsipatis D,Tsitsipatis D,4,"Laboratory of Cardiovascular Science, National Institute on Aging, NIH, Baltimore, MD, USA.",Tsitsipatis D
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Banarjee R,Banarjee R,5,"Translational Gerontology Branch, National Institute on Aging, NIH, Baltimore, MD, USA.",Banarjee R
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Tanaka T,Tanaka T,6,"Translational Gerontology Branch, National Institute on Aging, NIH, Baltimore, MD, USA.",Tanaka T
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Candia J,Candia J,7,"Translational Gerontology Branch, National Institute on Aging, NIH, Baltimore, MD, USA.",Candia J
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Maragkakis M,Maragkakis M,8,"Laboratory of Genetics and Genomics, National Institute on Aging, NIH, Baltimore, MD, USA.",Maragkakis M
42276069,Circulating cell type senescence signatures track distinct dimensions of health status and trajectories in human longitudinal cohorts.,2026,Bandinelli S,Bandinelli S,9,"Geriatric Unit, Azienda Sanitaria Toscana Centro, Firenze, Italy.",Bandinelli S
