pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Joyce BT,Joyce BT,1,NA,Joyce BT
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Gao T,Gao T,2,NA,Gao T
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Koss K,Koss K,3,NA,Koss K
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Zheng Y,Zheng Y,4,NA,Zheng Y
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Cardenas A,Cardenas A,5,NA,Cardenas A
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Heiss J,Heiss J,6,NA,Heiss J
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Just A,Just A,7,NA,Just A
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Zhang K,Zhang K,8,NA,Zhang K
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Horn Lv,Horn Lv,9,NA,Horn Lv
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Allen NB,Allen NB,10,NA,Allen NB
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Greenland P,Greenland P,11,NA,Greenland P
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Cohen S,Cohen S,12,NA,Cohen S
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Gordon-Larsen P,Gordon-Larsen P,13,NA,Gordon-Larsen P
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Mitchell C,Mitchell C,14,NA,Mitchell C
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,McLanahan S,McLanahan S,15,NA,McLanahan S
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Schneper L,Schneper L,16,NA,Schneper L
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Notterman D,Notterman D,17,NA,Notterman D
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Rifas-Shiman SL,Rifas-Shiman SL,18,NA,Rifas-Shiman SL
ffcws_1222,Impact of Paternal Education on Epigenetic Aging in Adolescence and Mid-Adulthood: A Multi-Cohort Study in the US and Mexico,2021,Oken E,Oken E,19,NA,Oken E
