pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Brickman AM,Brickman AM,1,NA,Brickman AM
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Muller C,Muller C,2,NA,Muller C
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Warren JR,Warren JR,3,NA,Warren JR
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Grodsky E,Grodsky E,4,NA,Grodsky E
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Kim S,Kim S,5,NA,Kim S
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Culbertson MJ,Culbertson MJ,6,NA,Culbertson MJ
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Thyagarajan B,Thyagarajan B,7,NA,Thyagarajan B
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Manly JJ,Manly JJ,8,NA,Manly JJ
edshare_publication-34SMIIEL,Vocational Education in the United States: The Early 1990s (NCES 95-024),1995,Levesque K,Levesque K,1,NA,Levesque K
edshare_publication-34SMIIEL,Vocational Education in the United States: The Early 1990s (NCES 95-024),1995,Premo M,Premo M,2,NA,Premo M
edshare_publication-34SMIIEL,Vocational Education in the United States: The Early 1990s (NCES 95-024),1995,Vergun R,Vergun R,3,NA,Vergun R
edshare_publication-34SMIIEL,Vocational Education in the United States: The Early 1990s (NCES 95-024),1995,Emanuel D,Emanuel D,4,NA,Emanuel D
