pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Stilp AM,Stilp AM,1,NA,Stilp AM
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Emery LS,Emery LS,2,NA,Emery LS
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Broome JG,Broome JG,3,NA,Broome JG
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Buth EJ,Buth EJ,4,NA,Buth EJ
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Khan AT,Khan AT,5,NA,Khan AT
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Laurie CA,Laurie CA,6,NA,Laurie CA
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Wang FF,Wang FF,7,NA,Wang FF
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Wong Q,Wong Q,8,NA,Wong Q
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Chen D,Chen D,9,NA,Chen D
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,D'Augustine CM,D'Augustine CM,10,NA,D'Augustine CM
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Heard-Costa NL,Heard-Costa NL,11,NA,Heard-Costa NL
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Hohensee CR,Hohensee CR,12,NA,Hohensee CR
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Johnson WC,Johnson WC,13,NA,Johnson WC
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Juarez LD,Juarez LD,14,NA,Juarez LD
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Liu J,Liu J,15,NA,Liu J
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Mutalik KM,Mutalik KM,16,NA,Mutalik KM
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Raffield LM,Raffield LM,17,NA,Raffield LM
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Wiggins KL,Wiggins KL,18,NA,Wiggins KL
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,de VRIESPS,de VRIESPS,19,NA,de VRIESPS
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Kelly TN,Kelly TN,20,NA,Kelly TN
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Kooperberg C,Kooperberg C,21,NA,Kooperberg C
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Natarajan P,Natarajan P,22,NA,Natarajan P
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Peloso GM,Peloso GM,23,NA,Peloso GM
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Peyser PA,Peyser PA,24,NA,Peyser PA
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Reiner AP,Reiner AP,25,NA,Reiner AP
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Arnett DK,Arnett DK,26,NA,Arnett DK
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Aslibekyan S,Aslibekyan S,27,NA,Aslibekyan S
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Barnes KC,Barnes KC,28,NA,Barnes KC
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Bielak LF,Bielak LF,29,NA,Bielak LF
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Bis JC,Bis JC,30,NA,Bis JC
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Cade BE,Cade BE,31,NA,Cade BE
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Chen MH,Chen MH,32,NA,Chen MH
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Correa A,Correa A,33,NA,Correa A
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,Adrienne CUPPLESL,Adrienne CUPPLESL,34,NA,Adrienne CUPPLESL
cardia_doi_10_1093_aje_kwab115,"A system for phenotype harmonization in the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) program",2021,de ANDRADEM,de ANDRADEM,35,NA,de ANDRADEM
