pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Kanoni S,Kanoni S,1,NA,Kanoni S
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Graham SE,Graham SE,2,NA,Graham SE
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Wang Y,Wang Y,3,NA,Wang Y
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Surakka I,Surakka I,4,NA,Surakka I
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Ramdas S,Ramdas S,5,NA,Ramdas S
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Zhu X,Zhu X,6,NA,Zhu X
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Clarke SL,Clarke SLN,7,NA,Clarke SL
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Bhatti KF,Bhatti KF,8,NA,Bhatti KF
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Vedantam S,Vedantam S,9,NA,Vedantam S
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Winkler TW,Winkler T,10,NA,Winkler TW
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Locke AE,Locke AE,11,NA,Locke AE
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Marouli E,Marouli E,12,NA,Marouli E
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Zajac GJM,Zajac GJM,13,NA,Zajac GJM
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Wu KHH,Wu KHH,14,NA,Wu KHH
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Ntalla I,Ntalla I,15,NA,Ntalla I
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Hui Q,Hui Q,16,NA,Hui Q
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Klarin D,Klarin D,17,NA,Klarin D
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Hilliard AT,Hilliard AT,18,NA,Hilliard AT
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Wang Z,Wang Z,19,NA,Wang Z
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Xue C,Xue C,20,NA,Xue C
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Thorleifsson G,Thorleifsson G,21,NA,Thorleifsson G
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Helgadottir A,Helgadottir A,22,NA,Helgadottir A
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Gudbjartsson DF,Gudbjartsson D,23,NA,Gudbjartsson DF
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Holm H,Holm H,24,NA,Holm H
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Olafsson I,Olafsson I,25,NA,Olafsson I
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Hwang MY,Hwang MY,26,NA,Hwang MY
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Han S,Han S,27,NA,Han S
alspac_doi_10_1186_s13059_022_02837_1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis",2022,Akiyama M,Akiyama M,28,NA,Akiyama M
