pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Brickman AM,Brickman AM,1,NA,Brickman AM
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Muller C,Muller C,2,NA,Muller C
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Warren JR,Warren JR,3,NA,Warren JR
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Grodsky E,Grodsky E,4,NA,Grodsky E
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Kim S,Kim S,5,NA,Kim S
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Culbertson MJ,Culbertson MJ,6,NA,Culbertson MJ
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Thyagarajan B,Thyagarajan B,7,NA,Thyagarajan B
edshare_doi_10_1001_jamanetworkopen_2025_45046,Alzheimer Disease Blood Biomarker Concentrations Across Race and Ethnicity Groups in Middle-Aged Adults,2025,Manly JJ,Manly JJ,8,NA,Manly JJ
edshare_doi_10_1002_alz_70015,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,2025,Muller C,Muller C,1,NA,Muller C
edshare_doi_10_1002_alz_70015,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,2025,Grodsky E,Grodsky E,2,NA,Grodsky E
edshare_doi_10_1002_alz_70015,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,2025,Brickman AM,Brickman AM,3,NA,Brickman AM
edshare_doi_10_1002_alz_70015,Education and Midlife Cognitive Functioning: Evidence from the High School and Beyond cohort,2025,Manly JJ,Manly JJ,4,NA,Manly JJ
